,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Arraial do Cabo,-22.97,-42.03,22.460000000000036,80,0,1.56
1,Punta Arenas,-53.15,-70.92,9.0,66,94,15.9
2,Yangjiang,21.85,111.97,27.220000000000027,64,100,4.56
3,Sovetskiy,61.36,63.58,5.080000000000041,83,100,4.81
4,Baghdad,33.34,44.4,21.0,60,98,4.1
5,Nikolskoye,59.7,30.79,5.0,60,4,5.0
6,Leningradskiy,69.38,178.42,-7.42999999999995,92,0,3.03
7,Mataura,-46.19,168.86,13.890000000000043,75,100,0.89
8,Ponta do Sol,32.67,-17.1,16.0,59,40,3.6
9,Kandrian,-6.22,149.55,26.640000000000043,85,100,3.21
10,Kortkeros,61.81,51.58,1.0,64,100,5.0
11,Carolina,18.38,-65.96,26.110000000000014,67,0,3.19
12,Kashgar,39.45,75.98,13.0,62,18,3.0
13,Vaini,-21.2,-175.2,28.0,78,75,4.1
14,Sault Ste. Marie,46.52,-84.33,-1.0,58,90,7.2
15,Atar,20.52,-13.05,22.260000000000048,18,0,4.1
16,Isangel,-19.55,169.27,29.0,74,20,5.1
17,Castro,-24.79,-50.01,13.010000000000048,63,0,1.51
18,Amarwāra,22.3,79.17,29.460000000000036,21,16,2.56
19,Grindavik,63.84,-22.43,3.0,100,40,3.6
20,Cape Town,-33.93,18.42,14.439999999999998,87,0,2.6
21,Ribeira Grande,38.52,-28.7,14.900000000000034,73,84,5.23
22,Bredasdorp,-34.53,20.04,12.0,81,0,2.1
23,Narsaq,60.92,-46.05,8.0,39,98,18.0
24,Barrow,71.29,-156.79,-9.0,78,90,5.1
25,Praia da Vitória,38.73,-27.07,15.0,77,20,5.69
26,Avarua,-21.21,-159.78,27.0,78,0,6.2
27,Butaritari,3.07,172.79,28.470000000000027,78,66,5.61
28,San Cristobal,7.77,-72.22,20.189999999999998,63,94,0.61
29,Sinnamary,5.38,-52.95,26.07000000000005,84,86,5.7
30,Rikitea,-23.12,-134.97,24.460000000000036,78,100,7.4
31,San Quintín,30.48,-115.95,16.07000000000005,81,59,8.62
32,Yellowknife,62.46,-114.35,-1.0,68,75,3.6
33,Hermanus,-34.42,19.23,9.439999999999998,95,0,0.89
34,São Filipe,14.9,-24.5,22.480000000000018,78,0,5.25
35,Ushuaia,-54.8,-68.3,5.0,80,90,14.4
36,Busselton,-33.65,115.33,22.78000000000003,56,100,7.66
37,Finschhafen,-6.6,147.87,26.590000000000032,82,100,3.13
38,Jamestown,42.1,-79.24,-2.0,68,90,8.2
39,Kavaratti,10.57,72.64,30.110000000000014,69,100,3.77
40,Bethel,41.37,-73.41,4.439999999999998,48,1,4.6
41,Opoczno,51.38,20.28,1.670000000000016,72,21,25.03
42,High Rock,26.62,-78.28,25.850000000000023,55,26,2.65
43,Lufkin,31.34,-94.73,24.0,69,1,3.1
